,property_type,place_name,price_aprox_usd,rooms,contrafrente,cochera,amenities,esp_exterior,mas_1banio,estrenar,surface,price_m2
169,PH,Almagro,289000.0,4.0,0,0,0,1,1,0,228.0,1267.5438596491229
170,PH,Almagro,289000.0,5.0,0,0,0,1,1,0,228.0,1267.5438596491229
171,PH,Almagro,289000.0,6.0,0,0,0,1,1,0,228.0,1267.5438596491229
172,PH,Boedo,289000.0,6.0,0,0,0,1,1,0,228.0,1267.5438596491229
173,PH,Boedo,289000.0,5.0,0,0,0,1,1,0,228.0,1267.5438596491229
174,PH,Boedo,289000.0,4.0,0,0,0,1,1,0,228.0,1267.5438596491229
175,PH,Balvanera,289000.0,6.0,0,0,0,1,1,0,228.0,1267.5438596491229
176,PH,Balvanera,289000.0,5.0,0,0,0,1,1,0,228.0,1267.5438596491229
177,PH,Balvanera,289000.0,4.0,0,0,0,1,1,0,228.0,1267.5438596491229
178,apartment,Balvanera,289000.0,4.0,0,0,0,1,1,0,228.0,1267.5438596491229
179,apartment,Balvanera,289000.0,5.0,0,0,0,1,1,0,228.0,1267.5438596491229
180,apartment,Boedo,289000.0,4.0,0,0,0,1,1,0,228.0,1267.5438596491229
181,apartment,Boedo,289000.0,5.0,0,0,0,1,1,0,228.0,1267.5438596491229
182,apartment,Boedo,289000.0,6.0,0,0,0,1,1,0,228.0,1267.5438596491229
183,apartment,Almagro,289000.0,6.0,0,0,0,1,1,0,228.0,1267.5438596491229
184,apartment,Almagro,289000.0,5.0,0,0,0,1,1,0,228.0,1267.5438596491229
